日期,股票代码,名称,涨跌幅
2019-05-17,'399001,深证成指,-3.1543
2019-05-16,'399001,深证成指,0.3704
2019-05-15,'399001,深证成指,2.4414
2019-05-14,'399001,深证成指,-0.714
2019-05-13,'399001,深证成指,-1.4296
2019-05-10,'399001,深证成指,4.0337
2019-05-09,'399001,深证成指,-1.391
2019-05-08,'399001,深证成指,-0.9563
2019-05-07,'399001,深证成指,1.6318
2019-05-06,'399001,深证成指,-7.5561
2019-04-30,'399001,深证成指,0.5408
2019-04-29,'399001,深证成指,-1.6188
2019-04-26,'399001,深证成指,-1.2799
2019-04-25,'399001,深证成指,-3.2106
2019-04-24,'399001,深证成指,1.1024
2019-04-23,'399001,深证成指,-0.9746
2019-04-22,'399001,深证成指,-1.8615
2019-04-19,'399001,深证成指,1.2692
2019-04-18,'399001,深证成指,-0.5487
2019-04-17,'399001,深证成指,0.552
2019-04-16,'399001,深证成指,2.3263
2019-04-15,'399001,深证成指,-0.7755
2019-04-12,'399001,深证成指,-0.2566
2019-04-11,'399001,深证成指,-2.6514
2019-04-10,'399001,深证成指,-0.0147
2019-04-09,'399001,深证成指,0.8187
2019-04-08,'399001,深证成指,-0.6138
2019-04-04,'399001,深证成指,0.7281
2019-04-03,'399001,深证成指,0.7812
2019-04-02,'399001,深证成指,-0.0715
2019-04-01,'399001,深证成指,3.6423
2019-03-29,'399001,深证成指,3.7747
2019-03-28,'399001,深证成指,-0.6549
2019-03-27,'399001,深证成指,1.0137
2019-03-26,'399001,深证成指,-1.945
2019-03-25,'399001,深证成指,-1.797
2019-03-22,'399001,深证成指,0.0955
2019-03-21,'399001,深证成指,0.706
2019-03-20,'399001,深证成指,-0.3978
2019-03-19,'399001,深证成指,-0.0374
2019-03-18,'399001,深证成指,3.0668
2019-03-15,'399001,深证成指,1.4081
2019-03-14,'399001,深证成指,-1.8153
2019-03-13,'399001,深证成指,-2.532
2019-03-12,'399001,深证成指,1.4108
2019-03-11,'399001,深证成指,3.6375
2019-03-08,'399001,深证成指,-3.2485
2019-03-07,'399001,深证成指,-0.2307
2019-03-06,'399001,深证成指,1.0916
2019-03-05,'399001,深证成指,2.2519
2019-03-04,'399001,深证成指,2.3645
2019-03-01,'399001,深证成指,1.5027
2019-02-28,'399001,深证成指,0.2905
2019-02-27,'399001,深证成指,-0.9162
2019-02-26,'399001,深证成指,-0.4985
2019-02-25,'399001,深证成指,5.5875
2019-02-22,'399001,深证成指,2.3603
2019-02-21,'399001,深证成指,-0.2563
2019-02-20,'399001,深证成指,0.3857
2019-02-19,'399001,深证成指,-0.0716
2019-02-18,'399001,深证成指,3.9539
2019-02-15,'399001,深证成指,-1.1475
2019-02-14,'399001,深证成指,0.5967
2019-02-13,'399001,深证成指,2.0116
2019-02-12,'399001,深证成指,1.1495
2019-02-11,'399001,深证成指,3.0589
2019-02-01,'399001,深证成指,2.738
2019-01-31,'399001,深证成指,0.117
2019-01-30,'399001,深证成指,-1.0704
2019-01-29,'399001,深证成指,-0.5044
2019-01-28,'399001,深证成指,-0.0773
2019-01-25,'399001,深证成指,0.2895
2019-01-24,'399001,深证成指,0.6612
2019-01-23,'399001,深证成指,0.093
2019-01-22,'399001,深证成指,-1.4352
2019-01-21,'399001,深证成指,0.5915
2019-01-18,'399001,深证成指,1.4863
2019-01-17,'399001,深证成指,-0.9296
2019-01-16,'399001,深证成指,-0.0914
2019-01-15,'399001,深证成指,1.8646
2019-01-14,'399001,深证成指,-0.8671
2019-01-11,'399001,深证成指,0.6111
2019-01-10,'399001,深证成指,-0.2594
2019-01-09,'399001,深证成指,0.7615
2019-01-08,'399001,深证成指,-0.1156
2019-01-07,'399001,深证成指,1.5836
2019-01-04,'399001,深证成指,2.7562
2019-01-03,'399001,深证成指,-0.8368
2019-01-02,'399001,深证成指,-1.2503
2018-12-28,'399001,深证成指,0.3389
2018-12-27,'399001,深证成指,-1.018
2018-12-26,'399001,深证成指,-0.5837
2018-12-25,'399001,深证成指,-0.8145
2018-12-24,'399001,深证成指,0.7491
2018-12-21,'399001,深证成指,-1.1963
2018-12-20,'399001,深证成指,0.1044
2018-12-19,'399001,深证成指,-1.4824
2018-12-18,'399001,深证成指,-0.8208
2018-12-17,'399001,深证成指,-0.485
2018-12-14,'399001,深证成指,-2.2847
2018-12-13,'399001,深证成指,1.4293
2018-12-12,'399001,深证成指,0.1641
2018-12-11,'399001,深证成指,0.794
2018-12-10,'399001,深证成指,-1.4098
2018-12-07,'399001,深证成指,-0.0149
2018-12-06,'399001,深证成指,-2.4401
2018-12-05,'399001,深证成指,-0.3169
2018-12-04,'399001,深证成指,0.1921
2018-12-03,'399001,深证成指,3.3419
2018-11-30,'399001,深证成指,1.1155
